subject,label,total_steps,min_steps,max_steps,mean_steps,zero_step_frames,zero_step_max_ms
wfc_arena,wfc_arena#1,500,0,4,1.3889,11,14.8705
wfc_arena,wfc_arena#2,514,0,4,1.4278,12,14.7676
wfc_arena,wfc_arena#3,441,0,4,1.225,22,13.8265
wfc_arena,wfc_arena#4,450,0,5,1.25,24,14.75
wfc_arena,wfc_arena#5,496,0,4,1.3778,11,14.2452
wfc_arena,wfc_arena#6,450,0,4,1.25,14,14.6658
wfc_arena,wfc_arena#7,477,0,3,1.325,15,15.0607
wfc_arena,wfc_arena#8,441,0,4,1.225,23,14.2198
stress_point_defense,stress_point_defense#1,1362,1,3,1.5133,0,
stress_point_defense,stress_point_defense#2,1380,1,4,1.5333,0,
stress_point_defense,stress_point_defense#4,1383,1,4,1.5367,0,
stress_point_defense,stress_point_defense#5,1301,1,3,1.4456,0,
stress_point_defense,stress_point_defense#6,1206,1,3,1.34,0,
stress_point_defense,stress_point_defense#7,1332,1,4,1.48,0,
stress_point_defense,stress_point_defense#8,1297,1,2,1.4411,0,
