host,pass,arm,mean_ms,p50_ms,p99_ms,min_ms,max_ms,fixed_min,fixed_max,frame_ms,main_ms,render_ms,gpu_ms,submit_present_ms
xvfb,1,ref,17.521,17.333,25.919,12.992,27.572,0,1,16.735,2.288,14.091,0.000,11.451
xvfb,1,r160x90,16.641,16.304,26.903,4.523,31.154,0,1,16.759,7.127,10.212,0.000,1.448
xvfb,1,ref,17.390,17.077,29.691,11.338,36.695,0,1,16.757,2.533,14.080,0.000,11.227
xvfb,1,r640x360,16.538,16.575,29.880,4.650,33.615,0,1,16.718,5.680,11.502,0.000,5.048
xvfb,1,ref,17.228,17.113,25.496,11.436,32.292,0,1,16.715,2.658,14.929,0.000,11.902
xvfb,1,r2560x1440,53.258,53.694,61.480,44.365,62.698,1,1,54.675,3.363,53.981,0.000,50.352
xvfb,1,ref,16.689,16.629,24.568,12.149,35.212,0,1,16.672,2.630,13.885,0.000,10.881
xvfb,1,s1,24.878,22.284,55.464,16.470,67.535,1,1,24.845,4.344,24.349,0.000,14.377
xvfb,1,ref,16.774,16.497,24.591,11.723,25.862,0,1,16.975,2.518,14.385,0.000,11.459
xvfb,1,s3,40.488,38.476,69.954,28.877,77.384,1,1,39.882,5.909,39.054,0.000,22.269
xvfb,1,ref,17.798,17.529,30.699,12.325,34.915,0,1,16.961,2.664,14.848,0.000,11.764
xvfb,1,rs025,16.936,16.466,28.134,11.238,38.772,0,1,16.932,2.794,14.692,0.000,11.169
xvfb,1,ref,16.774,16.574,24.534,11.868,31.387,0,1,16.545,2.556,13.028,0.000,10.189
xvfb,1,rs050,16.920,16.642,24.818,11.563,28.417,0,1,16.847,2.361,13.700,0.000,10.830
display,1,ref,3.131,2.803,8.565,2.385,10.398,0,1,3.200,2.084,2.810,0.000,0.131
display,1,s1,28.704,33.288,43.441,7.432,46.534,0,1,27.804,11.801,26.882,0.000,0.408
display,1,ref,4.057,3.198,13.609,2.502,15.525,0,1,3.711,2.454,3.341,0.000,0.151
display,1,s2,37.021,38.482,60.621,10.575,74.312,0,1,35.528,12.268,33.984,0.000,0.308
display,1,ref,8.066,3.669,25.592,2.493,32.256,0,1,4.967,3.055,4.102,0.000,0.219
display,1,s3,43.462,43.690,71.221,13.271,82.857,0,1,48.305,18.533,46.491,0.000,0.370
display,2,ref,3.036,2.906,4.651,2.356,6.261,0,1,2.935,1.858,2.600,0.000,0.118
display,2,s1,26.974,29.430,44.392,8.024,46.098,0,1,27.395,11.182,26.467,0.000,0.394
display,2,ref,3.024,2.868,4.780,2.410,5.266,0,1,2.985,1.910,2.642,0.000,0.121
display,2,s2,34.980,35.677,62.732,10.761,73.818,0,1,34.117,12.901,32.798,0.000,0.293
display,2,ref,3.097,2.840,6.112,2.399,7.416,0,1,3.079,1.967,2.714,0.000,0.121
display,2,s3,38.433,38.345,68.524,12.632,69.791,0,1,39.776,13.733,38.634,0.000,0.329
display,1,ref,2.957,2.804,4.556,2.371,8.649,0,1,3.021,1.777,2.668,0.000,0.127
display,1,hudoff,3.241,2.838,11.264,2.440,15.004,0,1,2.860,1.764,2.542,0.000,0.117
display,2,ref,3.238,2.932,6.514,2.424,8.314,0,1,3.183,1.995,2.872,0.000,0.142
display,2,hudoff,3.486,2.863,13.116,2.364,15.642,0,1,2.851,1.792,2.531,0.000,0.114
display,3,ref,2.719,2.663,3.571,2.358,4.833,0,1,2.707,1.739,2.396,0.000,0.107
display,3,hudoff,3.672,2.955,12.636,2.475,15.095,0,1,4.138,2.711,3.611,0.000,0.179
