# Mesh-count lane: paired interleaved A/B, base vs shared placeholder art + exhaust cache.
# 8 pairs per ship count, real display, 1280x720. Quote min_ms and phase shares;
# a mean whose pair spread straddles 1.00 measured nothing.
ships,pair,arm,mean_ms,min_ms,p50_ms,distinct_meshes,mesh_instances
1,1,base,4.1093,2.7882,3.4589,120,986
1,1,fix,3.9603,2.6242,3.2478,63,986
1,2,base,4.5260,2.7473,3.5821,120,986
1,2,fix,3.7323,2.6055,3.1804,63,986
1,3,base,4.3656,2.9301,3.5304,120,986
1,3,fix,3.1082,2.5207,2.9328,63,986
1,4,base,4.3608,2.9212,3.7543,120,986
1,4,fix,4.7399,2.6399,4.2225,63,986
1,5,base,3.7890,2.9055,3.4137,120,986
1,5,fix,5.6791,2.5719,4.2548,63,986
1,6,base,3.7760,2.8082,3.4790,120,986
1,6,fix,3.3496,2.5086,3.0184,63,986
1,7,base,5.3934,2.8612,5.0938,120,986
1,7,fix,3.0400,2.5097,2.9248,63,986
1,8,base,5.2239,2.8435,3.3542,120,986
1,8,fix,3.8565,2.6242,3.5923,63,986
3,1,base,6.1663,3.8849,4.7116,242,3423
3,1,fix,4.6446,3.1723,4.1224,83,3423
3,2,base,10.3548,4.2210,8.6282,242,3423
3,2,fix,4.7605,3.2592,4.0676,83,3423
3,3,base,9.0041,4.0118,6.8949,242,3423
3,3,fix,4.6793,3.1439,4.1018,83,3423
3,4,base,8.7339,3.8351,6.5747,242,3423
3,4,fix,5.1855,3.0845,4.0133,83,3423
3,5,base,6.8866,3.7933,5.0296,242,3423
3,5,fix,4.5972,3.1509,3.8822,83,3423
3,6,base,6.5275,3.7074,5.1361,242,3423
3,6,fix,4.4313,3.1906,4.1696,83,3423
3,7,base,9.0290,3.8297,6.4983,242,3423
3,7,fix,4.4839,3.4096,4.0902,83,3423
3,8,base,6.2952,3.9573,5.0780,242,3423
3,8,fix,5.4809,3.3165,4.3605,83,3423
