# stress_point_defense: frame-cost breakdown, by arm

Median over the framecost reports that fall INSIDE the capture window,
across the captures of each arm. Shares are per report; the totals move
with the box and the shares do not. DISPLAY=:0, workspace 3, 1280x720
unless the arm says otherwise, present=immediate, one capture per process.
Indented render rows sit inside Prepare. GPU timestamps not armed.

## repeat8, free-running (max_delta at bevy's 0.25 s)

36 in-window framecost reports over 8 captures
item                                median ms   share      min      max
frame                                  29.895  100.0%   23.434   47.305
render_world                           28.837   96.5%   22.610   34.763
main_world                             21.648   72.4%   14.991   39.134
render:PrepareAssets                   13.389   44.8%    9.678   15.354
main:PostUpdate                        11.125   37.2%    8.118   13.906
render:Prepare                         10.109   33.8%    8.080   12.038
prepare:Prepare/BindGroups              7.954   26.6%    6.235    9.192
main:RunFixedMainLoop                   7.543   25.2%    4.237   19.501
render:Render/graph                     3.504   11.7%    3.021    4.962
main:Update                             1.451    4.9%    1.190    3.267
prepare:Prepare/WritePhaseBuffers       1.152    3.9%    0.591    2.092
unattributed                            1.026    3.4%    0.716    8.171
main:PreUpdate                          0.914    3.1%    0.510    1.274
prepare:Prepare/Resources               0.833    2.8%    0.662    1.266
render:Specialize                       0.387    1.3%    0.335    0.513
render:Queue                            0.277    0.9%    0.238    0.401
prepare:Prepare/ResourcesFlush          0.213    0.7%    0.178    0.391
render:CreateViews                      0.206    0.7%    0.181    0.291
render:PrepareMeshes                    0.201    0.7%    0.168    0.309
render:Render/submit+present            0.193    0.6%    0.146    0.371
render:ExtractCommands                  0.137    0.5%    0.116    0.219
render:PrepareViews                     0.137    0.5%    0.127    0.293
main:StateTransition                    0.127    0.4%    0.091    0.321
main:First                              0.120    0.4%    0.102    0.335
main:Last                               0.088    0.3%    0.077    0.335
prepare:Prepare/CollectPhaseBuffers      0.062    0.2%    0.048    0.089
main:SpawnScene                         0.061    0.2%    0.053    0.196
render:PostCleanup                      0.059    0.2%    0.043    0.105
render:PhaseSort                        0.048    0.2%    0.041    0.074
prepare:Prepare/BatchPhases             0.033    0.1%    0.028    0.055
render:Cleanup                          0.014    0.0%    0.011    0.032
gpu                                     0.000    0.0%    0.000    0.000

## repeat8, pinned NOVA_PERF_MAX_DELTA=0.015625

36 in-window framecost reports over 8 captures
item                                median ms   share      min      max
frame                                  32.783  100.0%   25.920   36.142
render_world                           31.772   96.9%   25.043   35.171
main_world                             19.429   59.3%   14.850   21.864
render:PrepareAssets                   14.659   44.7%   10.981   16.755
render:Prepare                         10.899   33.2%    9.244   12.601
main:PostUpdate                         9.261   28.2%    7.688   10.016
prepare:Prepare/BindGroups              8.503   25.9%    6.768    9.822
main:RunFixedMainLoop                   6.445   19.7%    4.557    8.144
render:Render/graph                     3.968   12.1%    3.252    4.431
main:Update                             1.804    5.5%    1.412    2.045
main:PreUpdate                          1.300    4.0%    0.822    1.892
prepare:Prepare/WritePhaseBuffers       1.097    3.3%    0.677    1.926
unattributed                            1.038    3.2%    0.876    1.306
prepare:Prepare/Resources               0.903    2.8%    0.827    0.974
render:Specialize                       0.391    1.2%    0.341    0.451
render:Queue                            0.281    0.9%    0.250    0.325
render:PrepareMeshes                    0.267    0.8%    0.223    0.320
prepare:Prepare/ResourcesFlush          0.247    0.8%    0.208    0.286
render:CreateViews                      0.220    0.7%    0.198    0.252
render:Render/submit+present            0.218    0.7%    0.152    0.322
