arm,max_delta,label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps,resolution,git_sha,profile,steps_min,steps_max,steps_mean,peak_inbound,intercepts,peak_rounds,peak_colliders,census_entities,census_mesh_instances,census_distinct_meshes,census_distinct_materials,present,clustered,rounds_floor
repeat8-free,none,pd-A-1,900,31.9556,18.6445,72.0285,30.7256,46.6613,54.9068,72.0285,31.29,18.21,1280x720,cbc86980,dev,1,5,2.046,81,433,1762,1965,3815,841,17,114,immediate,0.154,
repeat8-free,none,pd-A-2,900,28.2184,17.4781,68.5311,26.4696,42.7555,51.2604,68.5311,35.44,19.51,1280x720,cbc86980,dev,1,5,1.807,78,404,2425,2629,4946,1416,17,108,immediate,0.132,
repeat8-free,none,pd-A-3,900,31.1684,17.5842,69.0530,29.9787,45.0535,58.0605,69.0530,32.08,17.22,1280x720,cbc86980,dev,1,5,1.994,83,448,1044,,4619,1244,17,118,immediate,0.151,FAILED
repeat8-free,none,pd-A-4,900,29.3382,17.4060,71.6992,27.3620,44.7206,53.6011,71.6992,34.09,18.66,1280x720,cbc86980,dev,1,5,1.878,87,411,1054,,4861,1388,16,102,immediate,0.133,FAILED
repeat8-free,none,pd-A-5,900,31.8347,18.3449,322.5573,26.8152,45.5573,179.7142,322.5573,31.41,5.56,1280x720,cbc86980,dev,1,16,2.029,82,446,1630,1831,3856,823,17,135,immediate,0.210,
repeat8-free,none,pd-A-6,900,29.0418,18.2503,61.7921,27.0999,42.6103,53.4612,61.7921,34.43,18.71,1280x720,cbc86980,dev,1,4,1.859,81,422,1288,1653,4287,1090,17,112,immediate,0.173,
repeat8-free,none,pd-A-7,900,30.9538,17.4780,70.4609,29.4950,46.0984,56.9196,70.4609,32.31,17.57,1280x720,cbc86980,dev,1,5,1.981,81,473,934,,4271,1080,17,112,immediate,0.164,FAILED
repeat8-free,none,pd-A-8,900,27.4468,16.9835,77.6621,25.8093,41.3783,49.9307,77.6621,36.43,20.03,1280x720,cbc86980,dev,1,5,1.757,81,381,1302,1591,4951,1395,16,119,immediate,0.182,
repeat8-pinned,0.015625,pd-B-1,900,31.1093,16.9231,84.3764,29.0433,49.3835,57.8243,84.3764,32.14,17.29,1280x720,cbc86980,dev,1,1,1.000,76,251,2252,2452,5155,1527,17,112,immediate,0.131,
repeat8-pinned,0.015625,pd-B-2,900,30.9849,16.3294,83.6050,29.1243,49.0610,59.1164,83.6050,32.27,16.92,1280x720,cbc86980,dev,1,1,1.000,75,235,2401,2606,5492,1713,17,102,immediate,0.138,
repeat8-pinned,0.015625,pd-B-3,900,34.1973,17.8486,82.2569,32.7306,54.4693,67.6151,82.2569,29.24,14.79,1280x720,cbc86980,dev,1,1,1.000,73,367,2259,2457,5514,1720,17,106,immediate,0.114,
repeat8-pinned,0.015625,pd-B-4,900,33.3823,17.3628,95.0296,31.4722,54.4337,65.2863,95.0296,29.96,15.32,1280x720,cbc86980,dev,1,1,1.000,72,319,2236,2438,5083,1507,17,106,immediate,0.114,
repeat8-pinned,0.015625,pd-B-5,900,32.2223,17.5234,85.3669,30.3153,52.2234,63.8618,85.3669,31.03,15.66,1280x720,cbc86980,dev,1,1,1.000,73,235,2253,2455,5145,1535,17,111,immediate,0.106,
repeat8-pinned,0.015625,pd-B-6,900,33.3527,17.1410,93.0501,31.6998,51.9119,63.9243,93.0501,29.98,15.64,1280x720,cbc86980,dev,1,1,1.000,76,256,2274,2476,4917,1408,17,118,immediate,0.127,
repeat8-pinned,0.015625,pd-B-7,900,31.5056,17.6324,76.5701,29.0277,50.4608,61.4824,76.5701,31.74,16.26,1280x720,cbc86980,dev,1,1,1.000,75,240,2243,2443,5258,1593,17,109,immediate,0.119,
repeat8-pinned,0.015625,pd-B-8,900,32.2704,18.6191,78.4024,29.9391,51.4284,64.5571,78.4024,30.99,15.49,1280x720,cbc86980,dev,1,1,1.000,76,686,2261,2463,5145,1529,16,109,immediate,0.121,
