arm,max_delta,label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps,resolution,git_sha,profile,steps_min,steps_max,steps_mean,peak_inbound,intercepts,peak_rounds,peak_colliders,census_entities,census_mesh_instances,census_distinct_meshes,census_distinct_materials,present,clustered
knob-sweep,0.015625,m4b12-q1,900,35.9006,17.7366,80.0756,34.3751,55.3125,70.8832,80.0756,27.85,14.11,1280x720,cbc86980,dev,1,1,1.000,85,215,681,869,3210,596,17,118,immediate,0.129
knob-sweep,0.015625,m8b12-q1,900,33.4890,17.8880,86.7103,32.1992,51.7162,62.2886,86.7103,29.86,16.05,1280x720,cbc86980,dev,1,1,1.000,82,229,1351,1545,4040,985,17,110,immediate,0.164
knob-sweep,0.015625,m12b12-q1,900,33.8506,17.0891,79.7342,32.3948,51.4714,60.0087,79.7342,29.54,16.66,1280x720,cbc86980,dev,1,1,1.000,75,297,2097,2301,5385,1607,16,115,immediate,0.129
knob-sweep,0.015625,m4b4-q1,900,28.4304,9.2636,57.7191,28.3017,45.7990,50.8515,57.7191,35.17,19.67,1280x720,cbc86980,dev,0,1,0.970,29,51,807,876,2724,512,16,46,immediate,0.077
knob-sweep,0.015625,m4b24-q1,900,46.0631,31.4426,97.2230,45.3227,61.1548,71.9206,97.2230,21.71,13.90,1280x720,cbc86980,dev,1,1,1.000,162,464,743,1391,4533,971,17,234,immediate,0.209
knob-sweep,0.015625,m12b24-q1,900,47.4812,32.5928,94.2374,46.1311,62.5825,74.3236,94.2374,21.06,13.45,1280x720,cbc86980,dev,1,1,1.000,152,1069,2397,2781,5952,1651,17,215,immediate,0.272
knob-sweep,0.015625,m4b12-q2,900,32.2070,18.1364,88.6728,31.0886,48.1855,58.7023,88.6728,31.05,17.04,1280x720,cbc86980,dev,1,1,1.000,88,207,670,859,3029,497,16,117,immediate,0.151
knob-sweep,0.015625,m8b12-q2,900,30.5152,18.0018,76.5597,29.0703,45.1721,53.9418,76.5597,32.77,18.54,1280x720,cbc86980,dev,1,1,1.000,83,254,1453,1647,3685,797,17,116,immediate,0.134
knob-sweep,0.015625,m12b12-q2,900,26.8979,16.3381,53.5630,25.5611,39.1657,46.9471,53.5630,37.18,21.30,1280x720,cbc86980,dev,1,1,1.000,72,287,2395,2599,5214,1515,16,118,immediate,0.173
knob-sweep,0.015625,m4b4-q2,900,22.9498,9.0050,48.8476,21.7075,40.3246,44.8344,48.8476,43.57,22.30,1280x720,cbc86980,dev,0,1,0.941,28,60,808,877,2862,578,16,47,immediate,0.071
knob-sweep,0.015625,m4b24-q2,900,43.8011,32.0205,84.1273,42.6856,56.8345,65.2162,84.1273,22.83,15.33,1280x720,cbc86980,dev,1,1,1.000,169,454,748,1320,4516,988,17,226,immediate,0.234
knob-sweep,0.015625,m12b24-q2,900,44.9473,29.9233,101.1532,43.4228,60.5597,70.6597,101.1532,22.25,14.15,1280x720,cbc86980,dev,1,1,1.000,145,731,2400,2773,6049,1669,16,228,immediate,0.233
knob-sweep,0.015625,m4b12-q3,900,30.7023,18.0553,71.9621,28.7286,46.5903,56.4244,71.9621,32.57,17.72,1280x720,cbc86980,dev,1,1,1.000,86,205,641,854,3273,623,17,118,immediate,0.128
knob-sweep,0.015625,m8b12-q3,900,32.4978,18.0101,88.7637,30.9057,49.6684,61.5084,88.7637,30.77,16.26,1280x720,cbc86980,dev,1,1,1.000,80,235,1327,1520,4023,951,17,119,immediate,0.132
knob-sweep,0.015625,m12b12-q3,900,31.6163,18.7499,95.6285,29.6195,49.1162,61.0784,95.6285,31.63,16.37,1280x720,cbc86980,dev,1,1,1.000,77,384,2105,2309,5732,1798,16,107,immediate,0.130
knob-sweep,0.015625,m4b4-q3,900,18.4099,8.5142,60.1792,15.4325,36.5346,42.6212,60.1792,54.32,23.46,1280x720,cbc86980,dev,0,1,0.870,27,60,806,875,2738,521,16,45,immediate,0.057
knob-sweep,0.015625,m4b24-q3,900,44.1111,30.7262,75.6163,42.6312,58.6009,68.8845,75.6163,22.67,14.52,1280x720,cbc86980,dev,1,1,1.000,172,445,589,1366,4654,1019,17,241,immediate,0.238
knob-sweep,0.015625,m12b24-q3,900,43.3573,31.1026,100.1965,41.6682,57.4736,68.4267,100.1965,23.06,14.61,1280x720,cbc86980,dev,1,1,1.000,146,701,2391,2769,5816,1570,17,224,immediate,0.264
knob-sweep-edge-contended,0.015625,m12b4-recheck,900,19.1905,8.3586,55.0334,14.1277,40.6614,47.6787,55.0334,52.11,20.97,1280x720,cbc86980,dev,0,1,0.861,25,233,2417,2500,5655,1926,17,37,immediate,0.071
