arm,max_delta,label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps,resolution,git_sha,profile,steps_min,steps_max,steps_mean,peak_inbound,intercepts,peak_rounds,peak_colliders,census_entities,census_mesh_instances,census_distinct_meshes,census_distinct_materials,present,clustered
view-720p,0.015625,view-battery-p1,900,36.2026,20.0439,90.7909,34.5518,56.5613,68.6490,90.7909,27.62,14.57,1280x720,cbc86980,dev,1,1,1.000,75,455,1858,2062,5434,1654,17,108,immediate,0.151
view-720p,0.015625,view-lanes-p1,900,31.7382,17.5722,79.7310,29.7414,48.3538,61.1561,79.7310,31.51,16.35,1280x720,cbc86980,dev,1,1,1.000,74,322,2044,2244,5572,1728,17,108,immediate,0.118
view-720p,0.015625,view-away-p1,900,25.6309,17.1178,65.4987,23.4263,38.9274,47.6570,65.4987,39.02,20.98,1280x720,cbc86980,dev,1,1,1.000,75,296,2011,2213,5256,1579,17,102,immediate,0.227
view-720p,0.015625,view-battery-p2,900,25.6680,17.2306,74.0159,23.3187,43.3477,56.9693,74.0159,38.96,17.55,1280x720,cbc86980,dev,1,1,1.000,72,344,2085,2285,5101,1487,16,105,immediate,0.207
view-720p,0.015625,view-lanes-p2,900,30.6699,18.3932,83.0146,28.9807,45.0936,57.4344,83.0146,32.61,17.41,1280x720,cbc86980,dev,1,1,1.000,74,322,1886,2067,5065,1479,16,103,immediate,0.140
view-720p,0.015625,view-away-p2,900,38.2199,18.9958,86.5767,36.9871,59.5260,72.2343,86.5767,26.16,13.84,1280x720,cbc86980,dev,1,1,1.000,75,391,1768,1998,5245,1556,17,113,immediate,0.136
view-720p,0.015625,view-battery-p3,900,33.7279,16.5628,78.1353,32.8094,51.4173,60.6499,78.1353,29.65,16.49,1280x720,cbc86980,dev,1,1,1.000,74,269,1868,2126,5157,1494,17,120,immediate,0.158
view-720p,0.015625,view-lanes-p3,900,36.9839,18.9152,84.8855,35.9462,54.5521,67.5436,84.8855,27.04,14.81,1280x720,cbc86980,dev,1,1,1.000,74,468,2023,2224,5228,1549,17,108,immediate,0.130
view-720p,0.015625,view-away-p3,900,35.4964,17.1105,81.9585,34.6913,53.1825,62.8140,81.9585,28.17,15.92,1280x720,cbc86980,dev,1,1,1.000,75,251,2083,2287,5802,1808,16,120,immediate,0.156
view-1440p,0.015625,hi-battery-p1,900,37.3177,20.2185,98.4514,36.3934,56.2188,66.6956,98.4514,26.80,14.99,2560x1440,cbc86980,dev,1,1,1.000,79,561,2019,2220,5071,1446,16,114,immediate,0.159
view-1440p,0.015625,hi-away-p1,900,37.6955,17.2626,80.7879,36.2374,58.1929,66.7165,80.7879,26.53,14.99,2560x1440,cbc86980,dev,1,1,1.000,78,353,1658,2251,5688,1776,16,103,immediate,0.141
view-1440p,0.015625,hi-battery-p2,900,33.4206,17.4441,79.2158,32.0212,49.6811,63.4110,79.2158,29.92,15.77,2560x1440,cbc86980,dev,1,1,1.000,75,228,1994,2197,5239,1548,16,110,immediate,0.143
view-1440p,0.015625,hi-away-p2,900,36.4336,17.9895,82.5491,35.3598,55.7506,64.7315,82.5491,27.45,15.45,2560x1440,cbc86980,dev,1,1,1.000,73,367,1463,2045,5510,1674,16,110,immediate,0.139
view-1440p,0.015625,hi-battery-p3,900,38.2509,18.9004,85.7512,36.7622,58.6426,70.1332,85.7512,26.14,14.26,2560x1440,cbc86980,dev,1,1,1.000,72,413,1831,2033,5182,1513,16,111,immediate,0.154
view-1440p,0.015625,hi-away-p3,900,37.3718,19.3367,107.8246,36.4556,55.5779,67.2454,107.8246,26.76,14.87,2560x1440,cbc86980,dev,1,1,1.000,80,568,1778,2150,5446,1662,16,105,immediate,0.153
