pass,arm,ships,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,mean_fps,clustered,window,fixed_min,fixed_max,fixed_mean
1,H,0,3.785,3.726,4.672,5.485,2.803,6.683,264.2,0.250,1280x720,0,1,0.245
1,V,0,3.281,3.124,4.168,5.292,2.606,6.757,304.8,0.265,1280x720,0,1,0.210
2,H,0,2.966,2.830,3.812,4.095,2.483,4.225,337.1,0.435,1280x720,0,1,0.190
2,V,0,3.114,3.003,3.797,3.889,2.562,4.077,321.1,0.325,1280x720,0,1,0.195
3,H,0,3.126,3.036,3.740,4.259,2.625,4.585,319.9,0.435,1280x720,0,1,0.200
3,V,0,3.455,3.444,4.264,4.806,2.580,5.124,289.4,0.280,1280x720,0,1,0.220
4,H,0,3.196,3.039,3.923,4.436,2.603,5.067,312.9,0.295,1280x720,0,1,0.205
4,V,0,3.716,3.601,4.558,4.899,2.871,5.890,269.1,0.285,1280x720,0,1,0.240
1,H,1,10.507,9.894,16.267,25.334,7.096,27.551,95.2,0.260,1280x720,0,1,0.655
1,V,1,13.650,10.660,31.992,37.734,7.336,39.143,73.3,0.275,1280x720,0,1,0.730
2,H,1,9.667,9.611,11.176,13.235,7.331,15.720,103.4,0.420,1280x720,0,1,0.615
2,V,1,9.857,9.882,11.451,12.557,7.461,13.170,101.5,0.390,1280x720,0,1,0.630
3,H,1,24.543,24.095,39.906,42.823,8.038,44.615,40.7,0.065,1280x720,0,1,0.935
3,V,1,24.156,24.673,40.924,43.622,7.127,55.511,41.4,0.040,1280x720,0,1,0.890
4,H,1,26.868,28.637,41.882,44.310,7.976,51.824,37.2,0.065,1280x720,0,1,0.930
4,V,1,19.998,15.454,40.151,41.674,7.313,48.217,50.0,0.040,1280x720,0,1,0.840
1,H,1,19.989,16.019,37.661,42.872,7.215,46.677,50.0,0.050,1280x720,0,1,0.850
1,V,1,26.735,27.840,41.778,45.462,7.824,50.995,37.4,0.060,1280x720,0,1,0.930
2,H,1,25.191,26.327,41.358,43.171,7.570,46.558,39.7,0.050,1280x720,0,1,0.910
2,V,1,25.029,25.379,40.388,42.304,7.786,46.195,40.0,0.045,1280x720,0,1,0.910
3,H,1,15.582,10.202,39.644,44.664,7.441,45.940,64.2,0.290,1280x720,0,1,0.720
3,V,1,24.281,25.828,40.968,43.817,7.525,57.530,41.2,0.070,1280x720,0,1,0.900
4,H,1,28.781,31.649,41.756,44.842,7.531,49.237,34.7,0.110,1280x720,0,1,0.935
4,V,1,29.992,34.331,41.570,43.515,7.644,45.302,33.3,0.185,1280x720,0,1,0.940
5,H,1,28.382,33.565,41.246,45.625,7.484,46.421,35.2,0.095,1280x720,0,1,0.935
5,V,1,26.643,28.056,39.780,41.682,7.164,42.481,37.5,0.090,1280x720,0,1,0.950
6,H,1,25.445,27.795,40.794,42.913,6.885,44.734,39.3,0.030,1280x720,0,1,0.890
6,V,1,29.124,32.973,41.914,44.812,7.273,51.892,34.3,0.090,1280x720,0,1,0.945
