pass,arm,ships,mean_ms,p50_ms,p99_ms,min_ms,frame_ms,main_ms,render_ms,prepare_ms,prepare_assets_ms,prepare_meshes_ms,graph_ms,present_ms,writebuf_ms,bindgroups_ms,resources_ms,postupdate_ms
1,p1-ref-0,1,24.759,26.892,43.645,7.839,30.679,12.201,29.287,14.819,4.577,0.305,6.787,0.428,6.101,6.089,1.858,5.450
1,p1-s0,0,2.954,2.764,4.699,2.424,4.096,2.643,3.602,1.286,0.149,0.066,1.407,0.170,0.055,0.355,0.575,1.089
1,p1-ref-1,1,9.882,9.836,12.616,7.284,10.038,4.004,9.516,4.478,1.466,0.141,2.441,0.167,1.849,1.786,0.578,1.883
1,p1-s1,1,30.400,33.767,43.582,8.522,30.119,11.869,28.811,14.545,4.530,0.259,6.686,0.456,6.086,5.884,1.788,5.296
1,p1-ref-2,1,28.561,30.815,43.814,7.770,26.223,10.907,24.933,12.582,3.971,0.404,5.553,0.399,5.298,5.011,1.590,4.964
1,p1-s2,2,26.454,19.702,58.613,10.782,29.473,10.852,28.112,14.151,5.402,0.383,5.684,0.273,6.261,5.842,1.480,5.056
1,p1-ref-3,1,29.557,32.872,44.142,7.668,14.789,6.307,14.274,6.881,2.327,0.209,3.427,0.207,2.938,2.674,0.882,2.975
1,p1-s3,3,43.309,44.430,68.265,12.308,47.562,18.744,45.965,21.637,9.896,1.485,8.381,0.392,9.749,9.019,1.973,8.868
2,p2-ref-0,1,17.859,11.060,42.497,7.641,26.940,11.051,25.769,12.955,3.988,0.347,5.979,0.380,5.376,5.248,1.637,4.994
2,p2-s0,0,3.692,3.340,8.811,2.361,3.270,2.077,2.905,1.020,0.118,0.057,1.167,0.122,0.040,0.276,0.467,0.861
2,p2-ref-1,1,31.130,33.546,46.921,7.591,31.400,12.942,29.993,14.976,4.801,0.401,6.909,0.430,6.254,5.968,1.958,5.728
2,p2-s1,1,18.880,10.464,41.205,7.219,24.376,9.914,23.021,11.280,3.773,0.279,5.400,0.380,4.667,4.522,1.448,4.462
2,p2-ref-2,1,27.966,31.372,42.571,7.951,28.960,11.874,27.790,14.049,4.466,0.277,6.328,0.462,5.994,5.638,1.674,5.491
2,p2-s2,2,38.832,40.415,62.181,11.493,40.711,14.098,39.221,19.857,7.390,0.381,8.215,0.351,8.951,8.142,1.836,6.407
2,p2-ref-3,1,24.989,25.262,44.045,7.194,28.713,11.861,27.304,13.683,4.458,0.378,6.168,0.405,5.718,5.446,1.760,5.357
2,p2-s3,3,30.191,20.175,67.720,12.093,43.332,16.445,42.050,20.194,8.800,1.126,7.941,0.375,8.827,8.784,1.780,7.739
3,p3-ref-0,1,20.636,12.738,43.094,7.190,9.217,3.459,8.764,4.255,1.354,0.123,2.180,0.121,1.848,1.655,0.504,1.637
3,p3-s0,0,2.882,2.768,4.085,2.422,3.446,2.177,3.043,1.071,0.125,0.058,1.206,0.133,0.044,0.295,0.479,0.897
3,p3-ref-1,1,28.207,32.091,44.293,7.205,30.783,12.450,29.269,14.732,4.661,0.320,6.683,0.475,6.107,5.988,1.837,5.738
3,p3-s1,1,23.067,22.346,40.877,8.524,24.297,9.753,23.118,11.296,3.841,0.316,5.453,0.337,4.712,4.523,1.456,4.418
3,p3-ref-2,1,33.800,37.317,43.760,7.847,31.979,12.630,30.627,15.444,4.841,0.325,7.109,0.460,6.502,6.239,1.882,5.683
3,p3-s2,2,43.497,48.702,62.291,10.982,41.697,15.087,40.288,20.317,7.749,0.699,8.039,0.382,8.880,8.586,1.950,7.039
3,p3-ref-3,1,30.297,35.571,42.785,7.707,28.405,11.388,27.134,13.658,4.305,0.267,6.287,0.378,5.689,5.485,1.736,5.145
3,p3-s3,3,17.587,16.369,38.158,12.298,17.526,6.342,16.881,7.886,3.378,0.347,3.613,0.162,3.428,3.333,0.782,3.074
