field                                                                      base                       batch
both hulls stood up whole.bays                           12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
both hulls stood up whole.mounts                         12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
both hulls stood up whole.sections                       37.000 [37.000-37.000]     37.000 [37.000-37.000] p=1.000
the battery shot torpedoes down.aim_error_deg            19.266 [18.458-19.567]     18.304 [17.694-18.523] p=0.001
the battery shot torpedoes down.engaged_secs                7.343 [7.255-7.572]      7.396 [7.357-7.613] p=0.172
the battery shot torpedoes down.fill_secs                   7.120 [7.065-7.167]      7.199 [7.155-7.263] p=0.001
the battery shot torpedoes down.fired                 3622.000 [3516.000-3818.000]   3597.500 [3560.000-3759.000] p=0.248
the battery shot torpedoes down.fps                    517.656 [360.955-691.210]    497.894 [457.797-612.371] p=0.753
the battery shot torpedoes down.frames_per_step            8.094 [5.647-10.789]      7.776 [7.150-9.573] p=0.753
the battery shot torpedoes down.hits_per_round              0.001 [0.001-0.002]      0.003 [0.002-0.003] p=0.001
the battery shot torpedoes down.intercepts                  5.000 [3.000-7.000]     10.000 [9.000-12.000] p=0.001
the battery shot torpedoes down.rounds_per_sec         494.216 [484.622-506.348]    486.135 [482.891-493.773] p=0.021
the battery shot torpedoes down.rounds_per_step             7.715 [7.578-7.913]      7.596 [7.542-7.719] p=0.016
the battery shot torpedoes down.trigger_duty                0.413 [0.405-0.423]      0.407 [0.404-0.414] p=0.027
the battery was working the stream.floor                    6.000 [6.000-6.000]      6.000 [6.000-6.000] p=1.000
the battery was working the stream.mounts                12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
the battery was working the stream.peak                  12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
the computer took every mount.held                       12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
the envelope filled with inbound ordnance.bays           12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
the envelope filled with inbound ordnance.floor          48.000 [48.000-48.000]     48.000 [48.000-48.000] p=1.000
the envelope filled with inbound ordnance.peak           54.000 [54.000-56.000]     49.000 [48.000-50.000] p=0.001
the sky drained to nothing.rounds                           0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
the sky drained to nothing.torpedoes                        0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
the sky filled with point-defense rounds.colliders    2625.000 [2624.000-2626.000]   2392.500 [2373.000-2417.000] p=0.001
the sky filled with point-defense rounds.floor         480.000 [480.000-480.000]    480.000 [480.000-480.000] p=1.000
the sky filled with point-defense rounds.mounts          12.000 [12.000-12.000]     12.000 [12.000-12.000] p=1.000
the sky filled with point-defense rounds.peak         2420.000 [2419.000-2421.000]   2190.000 [2171.000-2214.000] p=0.001
the teardown left nothing behind.roots                      0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
the teardown left nothing behind.rounds                     0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
the teardown left nothing behind.sections                   0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
the teardown left nothing behind.torpedoes                  0.000 [0.000-0.000]      0.000 [0.000-0.000] p=1.000
