# census inside the saturated hold, NOVA_PERF_CENSUS_FRAME=1000, 12 mounts x 12 bays,
# pinned, 1280x720, DISPLAY=:0. Deterministic: one run per arm is the whole measurement.
arm,entities,mesh_instances,distinct_meshes,distinct_drawn_materials,mesh_assets,standard_material_assets,cracks_material_assets
"base",5718,1800,17,105,28,112,149
"fix",5087,1464,17,17,28,18,16

arm,origin,instances,distinct_meshes,distinct_materials
"base","section-art",59,5,5
"base","section-fallback-cuboid",16,3,3
"base","Thruster Exhaust",276,2,0
"base","VelocityHUD Indicator",2,2,0
"base","VelocityHUD Sphere",2,2,0
"base","Bullet Projectile Render",1349,1,1
"base","Torpedo Controller",93,1,93
"base","Blast Radius Visual",3,1,3
"fix","section-art",59,5,5
"fix","section-fallback-cuboid",16,3,3
"fix","Thruster Exhaust",288,2,0
"fix","VelocityHUD Indicator",2,2,0
"fix","VelocityHUD Sphere",2,2,0
"fix","Bullet Projectile Render",990,1,1
"fix","Torpedo Controller",106,1,7
"fix","Blast Radius Visual",1,1,1
