kind,a,b,rmse
within-base,base-1,base-1b,0.00537185
within-base,base-1,base-2,0.00887228
within-base,base-1,base-3,0.00894174
within-base,base-1b,base-2,0.0102452
within-base,base-1b,base-3,0.0100887
within-base,base-2,base-3,0.00267567
within-fix,fix-1,fix-2,0.0047316
within-fix,fix-1,fix-3,0.00310577
within-fix,fix-2,fix-3,0.00404158
cross,base-1,fix-1,0.00873979
cross,base-1,fix-2,0.00916272
cross,base-1,fix-3,0.00887892
cross,base-1b,fix-1,0.00967323
cross,base-1b,fix-2,0.00925868
cross,base-1b,fix-3,0.00934011
cross,base-2,fix-1,0.00400375
cross,base-2,fix-2,0.00565818
cross,base-2,fix-3,0.0044392
cross,base-3,fix-1,0.00412049
cross,base-3,fix-2,0.00533363
cross,base-3,fix-3,0.00459211
within-base-aftermath,base-1,base-1b,0.137763
cross-aftermath,base-1,fix-1,0.137219
cross-flip-burn,burn-base,burn-fix,0.0201816
