set,arm,pair,mean_ms,min_ms,p50_ms,p99_ms,max_ms,total_fixed_steps,zero_step_frames,frame_ms,main_world_ms,render_world_ms,PrepareAssets_ms,PrepareBindGroups_ms,Prepare_ms,RenderGraph_ms,PostUpdate_ms,RunFixedMainLoop_ms,peak_inbound,peak_rounds,peak_colliders,shot_down
A,base,1,34.342,17.6534,33.3947,62.8305,75.8575,900,0,33.727,20.617,32.639,15.27,8.715,11.346,4.134,9.427,7.014,72,2036,2239,300
A,base,2,35.9812,18.4984,33.5392,75.5683,96.4534,900,0,32.204,17.962,30.925,13.395,8.172,10.61,4.014,8.93,6.264,74,1784,2095,540
A,base,3,25.6642,17.8276,23.2517,49.349,64.6257,900,0,28.645,17.133,27.623,12.048,7.246,9.699,3.594,8.583,4.835,75,2023,2226,378
A,base,4,25.4015,18.8922,24.5602,36.5041,39.6173,900,0,24.228,13.828,23.508,10.004,6.399,8.766,3.236,7.296,3.932,74,2056,2258,544
A,fix,1,29.3639,5.1271,27.9682,59.1699,63.7668,856,44,29.839,28.489,14.077,1.336,2.075,5.664,4.649,15.178,9.238,79,2342,2532,428
A,fix,2,27.8246,4.942,25.6401,56.8159,63.6385,843,57,26.773,25.867,13.326,1.309,1.902,5.263,4.313,13.172,8.55,72,2312,2513,366
A,fix,3,12.8416,5.4662,12.7913,28.43,37.607,695,205,16.123,15.118,8.819,0.92,1.043,2.949,3.321,7.418,4.825,76,2380,2582,215
A,fix,4,13.346,5.4357,12.7391,31.8596,41.0443,697,203,22.237,21.133,11.341,1.177,1.557,4.188,3.445,9.153,8.058,73,2396,2599,731
B,base,1,36.1953,18.2874,34.9568,64.2388,75.6854,900,0,35.142,21.878,34.013,15.797,9.304,11.651,4.613,9.95,7.557,76,2039,2239,309
B,base,2,30.5749,17.7132,28.381,60.7079,69.438,900,0,31.205,19.099,30.218,14.408,8.287,10.574,4.009,9.226,6.091,78,2115,2318,279
B,base,3,32.7198,17.5364,30.9113,64.7053,78.0967,900,0,30.894,18.872,29.762,13.916,8.152,10.604,4.067,9.132,6.268,74,1619,2056,298
B,fix,1,28.4015,5.5582,26.718,58.9638,64.3623,867,33,28.374,27.509,14.77,1.359,2.179,5.931,4.882,14.808,9.221,75,2365,2565,415
B,fix,2,24.7162,6.2125,24.0186,44.6203,53.9829,882,18,22.668,21.495,11.465,1.0,1.664,4.424,3.925,11.444,7.079,73,2385,2587,390
B,fix,3,27.4129,5.6694,25.3821,57.3604,65.5589,869,31,26.641,25.245,13.364,1.296,1.904,5.295,4.338,13.47,8.53,77,2329,2531,480
