label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps,backend,adapter,resolution,quality,git_sha,host,profile
wfc_arena#1,900,86.6810,63.1108,199.8704,80.3057,136.0549,160.9690,199.8704,11.54,6.21,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#2,900,94.4879,70.9507,188.7122,89.0562,134.0237,147.2767,188.7122,10.58,6.79,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#3,900,79.0008,47.6536,177.7819,68.8984,136.5129,148.2091,177.7819,12.66,6.75,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#4,900,100.8230,72.4125,233.7395,97.2661,135.7937,176.4567,233.7395,9.92,5.67,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#5,900,101.3793,57.6226,553.6760,77.1184,202.2376,405.9625,553.6760,9.86,2.46,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#6,900,100.9768,63.7803,465.0050,91.5945,152.2829,192.7932,465.0050,9.90,5.19,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#7,900,83.3598,59.9993,182.8357,77.3978,127.9933,145.0192,182.8357,12.00,6.90,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#8,900,114.9020,61.2189,518.5790,99.2698,220.4293,355.0702,518.5790,8.70,2.82,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#9,900,87.4629,45.0669,409.8904,67.1445,175.9152,307.4504,409.8904,11.43,3.25,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
wfc_arena#10,900,93.4082,71.0434,211.9119,85.4067,136.9007,151.5233,211.9119,10.71,6.60,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
cap4#1,900,132.9045,90.9679,293.3499,127.2441,203.1597,248.7088,293.3499,7.52,4.02,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
cap4#2,900,130.9223,90.9224,337.2292,123.5554,194.6225,253.6842,337.2292,7.64,3.94,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
cap4#3,900,113.7436,84.9678,263.3589,111.5027,142.3338,171.7229,263.3589,8.79,5.82,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
cap4#4,900,171.9012,87.8700,600.2303,150.8697,310.8948,394.3464,600.2303,5.82,2.54,vulkan,NVIDIA GeForce RTX 3060 Ti,1280x720,default,a68fb8a1,nixos,dev
